center,sigma,amplitude,ecenter,esigma,eamplitude,base_on_line,value_on_line,noise_on_block,snr_peak,snr_area,relative_power,area,earea,ew,cluster_probability
,,,,,,1.2398588804508113,1.8094573050932157,0.16780417327599087,,,0.1867954616653775,,,,0.1
,,,,,,1.214823653646552,1.4170701809854358,0.17040264912931943,,,0.07684448539587978,,,,0.1
,,,,,,1.1911038990428797,1.3226739293198488,0.1664806186101806,,,0.052339561910554035,,,,0.79
,,,,,,1.1195094478530128,1.0287336447244724,0.1664806186101806,,,-0.042255833821686635,,,,0.0
,,,,,,1.0642185984271464,1.5219667094470293,0.14548079419137905,,,0.17699741376852393,,,,0.1
,,,,,,0.9633276823453484,0.5094002932771898,0.14031665468211177,,,-0.30822215411252607,,,,0.0
,,,,,,0.9709605211004433,1.0628730399584574,0.1320872081911816,,,0.04519176033763575,,,,0.1
,,,,,,0.9241072535749839,1.0335255868584574,0.13351491894109507,,,0.05589318437222737,,,,0.1
,,,,,,0.9045713591814689,1.0843841706403263,0.12683016878343475,,,0.09040564696535379,,,,0.79
,,,,,,0.8272959491824152,1.0722706625987208,0.12421535726966386,,,0.1289634761408046,,,,0.0
,,,,,,0.8379947759343654,1.100654456981697,0.12527385512211653,,,0.13548592318180536,,,,0.1
,,,,,,0.7680302771727634,0.9499865389146711,0.1107789737723383,,,0.10591064070972835,,,,0.1
,,,,,,0.7535550703015362,0.8775861950167069,0.10335352465502884,,,0.07603947453991461,,,,0.1
,,,,,,0.7349035560681467,1.2252541898566705,0.10760586931103155,,,0.2501587613588582,,,,0.1
,,,,,,0.7101104169023637,0.8971701455252882,0.10857382389199192,,,0.11638274797549206,,,,0.1
,,,,,,0.6912186828187635,1.1089473020945693,0.11100285582452322,,,0.23205005692623218,,,,0.1
,,,,,,0.605043783059945,0.9831826041047764,0.10108267800457729,,,0.2380887410640994,,,,0.1
,,,,,,0.5319091329586414,0.7157893313686966,0.09353949022870274,,,0.14737551072421098,,,,0.79
,,,,,,0.419667276422765,0.7037035986402438,0.08038005785150164,,,0.2528428754230854,,,,0.1
,,,,,,0.420899404011152,0.7098779097969938,0.09450399887805123,,,0.2555573960116356,,,,0.79
